"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",522,42.63336,2.0549053112665e-31,"Sig"
7,"ABCO",538,42.6111,2.45566140637352e-28,"Sig"
13,"ABCO",539,42.2889,7.13762009630064e-28,"Sig"
18,"ABCO",571,41.43333,2.46577513094832e-27,"Sig"
23,"ABCO",553,41.52223,3.3385110467221e-27,"Sig"
28,"ABCO",525,41.1111,1.34035054171264e-26,"Sig"
1,"ABMA",1,0,0,"Sig"
7,"ABMA",1,0,0,"Sig"
13,"ABMA",2,0,0,"Sig"
18,"ABMA",2,0,0,"Sig"
23,"ABMA",2,0,0,"Sig"
28,"ABMA",2,0,0,"Sig"
1,"CADE",71,16.47778,3.70576447054254e-25,"Sig"
7,"CADE",73,16.34444,9.56542792359286e-23,"Sig"
13,"CADE",85,15.80001,5.64965026958454e-23,"Sig"
18,"CADE",103,15.17777,2.93296361607465e-22,"Sig"
23,"CADE",119,14.61111,1.20585624861339e-22,"Sig"
28,"CADE",120,14.04444,3.41609714002703e-22,"Sig"
1,"PILA",164,18.24442,1.66202840534622e-28,"Sig"
7,"PILA",162,16.96667,8.9101471837232e-25,"Sig"
13,"PILA",122,15.48889,5.117986308651e-22,"Sig"
18,"PILA",100,14.34444,2.80986201226802e-20,"Sig"
23,"PILA",73,13.26667,2.06042443771696e-18,"Sig"
28,"PILA",69,12.33334,2.5886311886831e-18,"Sig"
1,"PIPO",2,0,0,"Sig"
7,"PIPO",1,0,0,"Sig"
1,"QUKE",5,0.3222219,1.22528629973386e-20,"Sig"
7,"QUKE",7,0.2888886,3.92895202397067e-20,"Sig"
13,"QUKE",18,0.3444441,1.61624934081113e-22,"Sig"
18,"QUKE",27,0.3111108,1.89515086733144e-22,"Sig"
23,"QUKE",32,0.3111108,4.04078287986241e-23,"Sig"
28,"QUKE",27,0.2888886,1.49964704740555e-21,"Sig"
