"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",13,6.299997,2.18658877503599e-20,"Sig"
6,"ABCO",16,6.388889,2.4104833844722e-17,"Sig"
12,"ABCO",17,6.233331,4.06742136470656e-17,"Sig"
17,"ABCO",17,6.166665,8.207437806604e-18,"Sig"
22,"ABCO",18,6.266666,5.17017510988384e-16,"Sig"
27,"ABCO",16,5.933333,1.38719000693401e-14,"Sig"
32,"ABCO",11,5.766667,8.72355523626132e-12,"Sig"
1,"CADE",3,0,0,"Sig"
6,"CADE",3,0,0,"Sig"
12,"CADE",5,0,0,"Sig"
17,"CADE",5,0,0,"Sig"
22,"CADE",10,0,0,"Sig"
27,"CADE",12,0,0,"Sig"
32,"CADE",15,0,0,"Sig"
1,"PIJE",140,51.26665,1.30273905013936e-24,"Sig"
6,"PIJE",131,50.44444,1.47515925936739e-19,"Sig"
12,"PIJE",124,50.32222,5.63917051788048e-19,"Sig"
17,"PIJE",114,48.83333,2.47972189298716e-18,"Sig"
22,"PIJE",104,48.05556,7.29164418786882e-18,"Sig"
27,"PIJE",101,47.83334,2.07648002962408e-16,"Sig"
32,"PIJE",97,48.07776,8.89858932353364e-17,"Sig"
1,"PILA",4,1.855557,6.19031563558503e-16,"Sig"
6,"PILA",4,1.800002,4.02496667540996e-12,"Sig"
12,"PILA",3,1.666668,3.97289578919799e-10,"Sig"
17,"PILA",2,1.477777,3.74554056435217e-06,"Sig"
22,"PILA",2,1.333331,2.96098980996781e-07,"Sig"
27,"PILA",2,1.1666649,1.63179346705469e-07,"Sig"
32,"PILA",2,1.1111109,3.8426536223844e-07,"Sig"
1,"PIMO",1,0,0,"Sig"
6,"PIMO",1,0,0,"Sig"
12,"PIMO",1,0,0,"Sig"
17,"PIMO",1,0,0,"Sig"
1,"QUKE",16,2.866668,1.50557756998195e-23,"Sig"
6,"QUKE",19,3.077777,3.93221318348372e-21,"Sig"
12,"QUKE",60,3.455555,6.85522286136837e-24,"Sig"
17,"QUKE",97,3.544444,6.94911437119112e-25,"Sig"
22,"QUKE",95,3.500001,1.19250573412017e-25,"Sig"
27,"QUKE",107,3.466666,3.68623070656185e-25,"Sig"
32,"QUKE",121,3.355556,1.42827849513162e-25,"Sig"
