"","species","ba90","ba100","ba110","den90","den100","den110"
"1","ABCO",3.13425208035421,2.8679859094845,3.15838856164671,1.47701514407199,1.36699281438452,1.26277675279768
"2","ABMA",0.928187745519938,0.896850829905687,0.936110336956516,2.22790754280549,2.21856336522008,2.20718176281291
"3","CADE",1.00716571350325,0.924023045892207,1.00469262231967,2.41159017194991,2.3459017263194,2.26456284590577
"4","PICO",1.00275066881203,0.929584745674138,0.982907602670273,1.61759114271276,1.47985448568554,1.48465708548728
"5","PIJE",2.63420526836482,2.48113481123737,-1.52963833661373,11.0613770074733,27.4773499433729,-16.3139534883719
"6","PILA",2.43096624387466,2.5907966602911,2.84826945052293,3.76044156632924,3.55768350033503,3.7964847259162
"7","PIMO",0.996887800798582,0.956754161852177,0.949090284798696,4.19924370327193,4.05614253255049,4.01752390728373
"8","PIPO",0.724624450705153,0.691911888585908,0.592962840107257,0.217529650254792,1.29686010128936,0.906072755881714
"9","QUCH",1.1542471956585,7.0914178209173,1.98100278902605,-29.7340738119985,-15.6189899353636,-12.074993056879
"10","QUKE",1.03814733971137,1.01724488594093,1.01778859845366,2.67577546967761,2.57700530569169,2.57030314726642
