"","species","ba90","ba100","ba110","den90","den100","den110"
"1","ABCO",2.99282580567927,3.10193783152456,2.92031609237479,1.33824428685587,1.36699281438452,1.36847760871382
"2","ABMA",0.930376994491235,0.933431250779158,0.93907776351282,2.20771064718741,2.21856336522008,2.22771214024459
"3","CADE",0.988169293054147,1.00878950532675,1.01948741858717,2.30134266835234,2.3459017263194,2.35043478467428
"4","PICO",0.989449787051826,0.938741377434961,1.01213600312795,1.48676841518986,1.47985448568554,1.57709704195693
"5","PIJE",-8.58100671474394,2.67743959390254,2.8873226644024,-15.7545072857495,27.4773499433729,23.601895734597
"6","PILA",2.58932282648106,2.66257035157721,2.42353020492541,2.36630789156876,3.55768350033503,2.52670852001329
"7","PIMO",1.06651498680171,1.00233968015727,0.930803241545094,4.04168168525819,4.05614253255049,3.97163148104275
"8","PIPO",0.446236026902919,0.717018367036795,0.736131284216914,0.354043174257078,1.29686010128936,0.500858241597826
"9","QUCH",3.85758747132402,6.20625550415165,4.77665579350835,-15.0509744917571,-15.6189899353636,-21.5706397707952
"10","QUKE",1.01030424619788,1.01899045712966,1.03436551486201,2.54076888099993,2.57700530569169,2.63013081899177
