"","species","ba90","ba100","ba110","den90","den100","den110"
"1","ABCO",3.21091581037963,2.8679859094845,3.10876607155059,1.33639858985683,1.36699281438452,1.36187621812237
"2","ABMA",0.909479577244453,0.896850829905687,0.930719361806685,2.21717669178632,2.21856336522008,2.21734984690949
"3","CADE",0.997074577444089,0.924023045892207,0.992076829478663,2.30136066846078,2.3459017263194,2.30096729849916
"4","PICO",0.955980767785213,0.929584745674138,0.970430943708026,1.55827799535624,1.47985448568554,1.46102538813826
"5","PIJE",2.37266432364896,2.48113481123737,2.2106834068816,15.4895755770663,27.4773499433729,-15.3898886032564
"6","PILA",2.73577967925147,2.5907966602911,2.78751101532911,3.63508212066866,3.55768350033503,3.47739842113849
"7","PIMO",2.84692616172932,0.956754161852177,0.911449233353438,4.01299530689125,4.05614253255049,3.97417878124644
"8","PIPO",0.510750628603961,0.691911888585908,0.550754252231365,0.900101285261484,1.29686010128936,0.386504874950697
"9","QUCH",21.0878545333051,7.0914178209173,5.34374290605077,-19.6701428746899,-15.6189899353636,-14.8066537553034
"10","QUKE",1.03464117378987,1.01724488594093,1.04370597718521,2.57725720027222,2.57700530569169,2.59959065040723
