"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",736,610.311133333333,0,2.76765106940655e-15,"Sig","Sig"
7,"ABCO",698,755.081466666667,0.578820048812013,1.31543124706549e-07,"NS","Sig"
13,"ABCO",627,712.236933333333,0.0370176633766902,9.88055937054326e-11,"Sig","Sig"
18,"ABCO",985,710.518533333333,0,2.33855708548483e-15,"Sig","Sig"
19,"ABCO",25,708.977866666667,0,2.59350493031925e-20,"Sig","Sig"
20,"ABCO",56,714.014866666667,0,7.02309506300468e-20,"Sig","Sig"
21,"ABCO",18,720.5334,0,1.56952401222026e-20,"Sig","Sig"
22,"ABCO",16,714.725933333333,0,6.45542513667268e-20,"Sig","Sig"
23,"ABCO",723,711.4666,0.233306555519669,0.140648160941942,"NS","NS"
24,"ABCO",14,710.518533333333,0,2.08265027445175e-20,"Sig","Sig"
25,"ABCO",4,715.7926,0,3.19465898353794e-21,"Sig","Sig"
27,"ABCO",2,710.222266666667,0,1.06963965662835e-18,"Sig","Sig"
28,"ABCO",539,0,1,1,"NS","NS"
29,"ABCO",28,0,1,1,"NS","NS"
30,"ABCO",32,0,1,1,"NS","NS"
31,"ABCO",28,0,1,1,"NS","NS"
32,"ABCO",8,0,1,1,"NS","NS"
1,"ABMA",3,0,0,0,"Sig","Sig"
7,"ABMA",3,0,0,0,"Sig","Sig"
13,"ABMA",2,0,0,0,"Sig","Sig"
18,"ABMA",2,0,0,0,"Sig","Sig"
19,"ABMA",1,0,0,0,"Sig","Sig"
22,"ABMA",2,0,0,0,"Sig","Sig"
23,"ABMA",2,0,0,0,"Sig","Sig"
28,"ABMA",2,0,1,1,"NS","NS"
1,"CADE",137,10.3111106666667,0,2.88720062092506e-27,"Sig","Sig"
7,"CADE",135,11.614812,0,2.56438498140126e-25,"Sig","Sig"
13,"CADE",123,11.2592613333333,0,1.8638751628567e-22,"Sig","Sig"
18,"CADE",105,9.48149133333333,0,1.36508187010055e-23,"Sig","Sig"
19,"CADE",3,10.7851766666667,0.718529346546795,4.15536574502573e-07,"NS","Sig"
21,"CADE",631,11.3185246666667,0,1.55871706976206e-34,"Sig","Sig"
22,"CADE",3,10.6666653333333,0.47638444144685,6.13364441382224e-08,"NS","Sig"
23,"CADE",130,10.666666,0,4.0616119807663e-24,"Sig","Sig"
24,"CADE",33,10.8444433333333,0,1.36088333854722e-15,"Sig","Sig"
25,"CADE",3,11.5555513333333,0.220140718110663,6.60880204882157e-09,"NS","Sig"
26,"CADE",34,10.9629533333333,0,6.03235197354582e-14,"Sig","Sig"
27,"CADE",1,10.13334,0.0650034860070458,1.02669761513631e-09,"NS","Sig"
28,"CADE",127,0,1,1,"NS","NS"
29,"CADE",6,0,1,1,"NS","NS"
30,"CADE",2,0,1,1,"NS","NS"
32,"CADE",2,0,1,1,"NS","NS"
1,"PILA",194,4.622222,0,1.75995429793697e-31,"Sig","Sig"
7,"PILA",180,8.237034,0,9.85084423239973e-27,"Sig","Sig"
13,"PILA",136,8.82963666666667,0,1.9040032815244e-25,"Sig","Sig"
18,"PILA",132,7.229632,0,2.30680985621911e-25,"Sig","Sig"
19,"PILA",9,7.40741133333333,0.198750712495993,0.0829395775836402,"NS","NS"
20,"PILA",5,7.46666733333333,0.941974886943209,0.00248755156389805,"NS","Sig"
21,"PILA",3,7.46666866666667,0.288374431324016,2.28390102614516e-05,"NS","Sig"
22,"PILA",5,7.76296733333333,0.848205060087847,0.000192027002312029,"NS","Sig"
23,"PILA",84,7.22963333333333,0,2.31408566558698e-23,"Sig","Sig"
24,"PILA",5,6.34074,0.675617287832707,0.0160198733618033,"NS","Sig"
25,"PILA",205,6.34074,0,3.37751138812354e-30,"Sig","Sig"
26,"PILA",20,6.696302,0.0181647268138235,5.93291198343053e-12,"Sig","Sig"
27,"PILA",3,6.28147726666667,0.88399700300453,0.000523958165401958,"NS","Sig"
28,"PILA",74,0,1,1,"NS","NS"
30,"PILA",6,0,1,1,"NS","NS"
1,"PIPO",2,0,0,0,"Sig","Sig"
7,"PIPO",1,0,0,0,"Sig","Sig"
26,"PIPO",4,0,0,0,"Sig","Sig"
28,"PIPO",1,0,1,1,"NS","NS"
1,"QUKE",63,0.770370466666667,0,8.48204127730245e-34,"Sig","Sig"
7,"QUKE",61,0.0592592666666667,0,1.49233208690291e-35,"Sig","Sig"
13,"QUKE",50,0.0592592666666667,0,2.42206343908187e-34,"Sig","Sig"
18,"QUKE",34,0.0592592666666667,0,5.3999700419615e-32,"Sig","Sig"
19,"QUKE",1,0,0,0,"Sig","Sig"
20,"QUKE",1,0,0,0,"Sig","Sig"
21,"QUKE",2,0,0,0,"Sig","Sig"
22,"QUKE",6,0,0,0,"Sig","Sig"
23,"QUKE",41,0,0,0,"Sig","Sig"
24,"QUKE",1,0,0,0,"Sig","Sig"
25,"QUKE",1,0,0,0,"Sig","Sig"
26,"QUKE",5,0,0,0,"Sig","Sig"
27,"QUKE",3,0,0,0,"Sig","Sig"
28,"QUKE",37,0,1,1,"NS","NS"
29,"QUKE",8,0,1,1,"NS","NS"
